,offset,width,count
0,9.1,31.7,1.0
1,9.1,32.0,1.0
2,-35.2,35.5,1.0
3,-35.2,36.1,1.0
4,-35.2,37.3,1.0
5,-16.7,34.6,1.0
6,-16.7,34.7,3.0
7,-16.7,34.8,2.0
8,-16.7,34.9,2.0
9,-16.7,35.0,5.0
10,-16.7,35.1,5.0
11,-16.7,35.2,5.0
12,-16.7,35.3,5.0
13,-16.7,35.4,1.0
14,-16.7,35.5,2.0
15,-16.7,35.6,4.0
16,-16.7,35.7,4.0
17,4.0,32.0,1.0
18,4.0,32.1,1.0
19,4.0,32.2,1.0
20,1.1,32.3,1.0
21,1.1,32.6,1.0
22,-29.2,36.2,1.0
23,-29.2,36.3,3.0
24,-29.2,36.4,3.0
25,-29.2,36.5,1.0
26,-29.2,36.6,5.0
27,-29.2,36.7,5.0
28,-29.2,36.8,5.0
29,-29.2,36.9,4.0
30,-29.2,37.3,1.0
31,-1.4,33.2,1.0
32,-18.7,34.7,1.0
33,-18.7,34.9,1.0
34,-18.7,35.0,5.0
35,-18.7,35.1,5.0
36,-18.7,35.2,5.0
37,-18.7,35.3,4.0
38,-18.7,35.4,5.0
39,-18.7,35.5,5.0
40,-18.7,35.6,4.0
41,-18.7,35.7,4.0
42,7.7,31.8,1.0
43,7.7,32.1,1.0
44,7.7,32.2,1.0
45,7.4,31.5,1.0
46,11.3,31.9,1.0
47,11.3,32.1,1.0
48,11.3,37.7,1.0
49,11.3,38.1,2.0
50,11.3,38.2,2.0
51,11.3,38.3,3.0
52,11.3,38.5,3.0
53,11.3,38.6,2.0
54,11.3,38.7,3.0
55,11.3,38.8,4.0
56,-39.9,35.2,1.0
57,-39.9,35.8,1.0
58,-39.9,37.1,1.0
59,-31.3,35.1,1.0
60,-31.3,35.4,1.0
61,-31.3,35.8,1.0
62,-31.3,35.9,1.0
63,-31.3,36.0,1.0
64,-31.3,36.1,1.0
65,-31.3,36.3,1.0
66,-31.3,36.4,1.0
67,-31.3,36.5,2.0
68,-31.3,37.6,1.0
69,-31.3,37.7,2.0
70,-31.3,37.8,3.0
71,-31.3,37.9,2.0
72,-31.3,38.1,3.0
73,-31.3,38.2,1.0
74,-31.3,38.3,2.0
75,-31.3,38.4,3.0
76,-31.3,38.5,4.0
77,-31.3,38.6,3.0
78,-31.3,38.7,2.0
79,-31.3,38.8,2.0
80,-31.3,39.2,1.0
81,-31.3,39.5,1.0
82,11.2,32.0,1.0
83,11.2,32.1,1.0
84,11.2,37.9,1.0
85,11.2,38.1,2.0
86,11.2,38.2,1.0
87,11.2,38.3,2.0
88,11.2,38.4,2.0
89,11.2,38.5,2.0
90,11.2,38.6,3.0
91,11.2,38.7,2.0
92,11.2,38.8,4.0
93,8.7,31.9,1.0
94,-30.7,36.1,1.0
95,-30.7,36.2,5.0
96,-30.7,36.3,3.0
97,-30.7,36.4,2.0
98,-30.7,36.5,4.0
99,-30.7,36.7,1.0
100,-30.7,36.8,2.0
101,-30.7,36.9,1.0
102,-30.7,37.8,2.0
103,-30.7,37.9,2.0
104,-30.7,38.0,1.0
105,-30.7,38.1,3.0
106,-30.7,38.2,1.0
107,-30.7,38.3,2.0
108,-30.7,38.4,2.0
109,-30.7,38.5,4.0
110,-30.7,38.6,1.0
111,-30.7,38.7,4.0
112,-30.7,38.8,3.0
113,-30.7,38.9,3.0
114,-30.7,39.0,3.0
115,-30.7,39.1,4.0
116,-30.7,39.2,2.0
117,-30.7,39.3,1.0
118,-30.7,39.4,1.0
119,-30.7,39.5,2.0
120,-30.7,39.6,4.0
121,-30.7,39.8,1.0
122,-13.5,34.6,1.0
123,-13.5,34.8,2.0
124,-13.5,35.0,4.0
125,-13.5,35.1,5.0
126,-13.5,35.2,4.0
127,-13.5,35.3,3.0
128,-13.5,35.4,4.0
129,-13.5,35.5,5.0
130,-13.5,35.6,5.0
131,-13.5,35.7,4.0
132,-13.5,35.9,2.0
133,-13.5,36.1,1.0
134,15.6,33.1,1.0
135,0.5,33.0,1.0
136,-13.6,35.0,5.0
137,-13.6,35.1,4.0
138,-13.6,35.2,3.0
139,-13.6,35.3,4.0
140,-13.6,35.4,4.0
141,-13.6,35.5,4.0
142,-13.6,35.6,4.0
143,-13.6,35.7,5.0
144,-13.6,35.9,3.0
145,-13.6,36.0,1.0
146,9.8,31.5,1.0
147,9.8,31.9,1.0
148,9.8,39.3,1.0
149,9.8,39.5,1.0
150,9.8,39.8,1.0
151,-15.7,34.7,3.0
152,-15.7,34.8,1.0
153,-15.7,34.9,1.0
154,-15.7,35.0,5.0
155,-15.7,35.1,5.0
156,-15.7,35.2,5.0
157,-15.7,35.3,5.0
158,-15.7,35.4,3.0
159,-15.7,35.5,3.0
160,-15.7,35.6,3.0
161,-15.7,35.7,1.0
162,-17.5,34.6,1.0
163,-17.5,34.7,3.0
164,-17.5,34.8,1.0
165,-17.5,34.9,3.0
166,-17.5,35.0,5.0
167,-17.5,35.1,5.0
168,-17.5,35.2,5.0
169,-17.5,35.3,5.0
170,-17.5,35.4,4.0
171,-17.5,35.5,4.0
172,-17.5,35.6,3.0
173,-17.5,35.7,3.0
174,-24.2,35.4,1.0
175,-24.2,35.6,1.0
176,-24.2,35.8,4.0
177,-24.2,35.9,5.0
178,-24.2,36.0,4.0
179,-24.2,36.1,5.0
180,-24.2,36.2,5.0
181,-24.2,36.3,5.0
182,-24.2,36.4,5.0
183,-24.2,36.5,5.0
184,-24.2,36.6,4.0
185,-24.2,36.7,1.0
186,-24.2,36.8,1.0
187,-24.2,36.9,3.0
188,-25.6,35.8,3.0
189,-25.6,35.9,1.0
190,-25.6,36.0,2.0
191,-25.6,36.1,1.0
192,-25.6,36.2,5.0
193,-25.6,36.3,5.0
194,-25.6,36.4,5.0
195,-25.6,36.5,5.0
196,-25.6,36.6,4.0
197,-25.6,36.7,3.0
198,-25.6,36.8,4.0
199,-25.6,36.9,4.0
200,-25.6,37.2,1.0
201,-25.6,37.3,1.0
202,-25.6,37.8,1.0
203,-21.5,35.0,2.0
204,-21.5,35.1,1.0
205,-21.5,35.2,1.0
206,-21.5,35.4,5.0
207,-21.5,35.5,5.0
208,-21.5,35.6,5.0
209,-21.5,35.7,5.0
210,-21.5,35.8,5.0
211,-21.5,35.9,4.0
212,-21.5,36.0,4.0
213,-21.5,36.1,3.0
214,-21.5,36.2,1.0
215,-8.9,36.3,1.0
216,-37.4,37.6,1.0
217,17.4,39.0,1.0
218,17.4,39.2,1.0
219,17.4,39.3,2.0
220,17.4,39.4,2.0
221,17.4,39.5,2.0
222,-38.2,37.0,1.0
223,6.0,31.5,1.0
224,6.0,31.6,1.0
225,6.0,31.8,1.0
226,-29.8,36.2,2.0
227,-29.8,36.3,1.0
228,-29.8,36.4,3.0
229,-29.8,36.5,4.0
230,-29.8,36.6,4.0
231,-29.8,36.7,5.0
232,-29.8,36.8,5.0
233,-29.8,36.9,4.0
234,-29.8,37.8,1.0
235,-29.8,37.9,1.0
236,-29.8,39.5,1.0
237,-29.8,39.7,1.0
238,-29.8,39.8,1.0
239,3.6,31.9,2.0
240,3.6,32.1,1.0
241,3.6,32.2,1.0
242,-26.8,35.9,1.0
243,-26.8,36.0,1.0
244,-26.8,36.2,5.0
245,-26.8,36.3,5.0
246,-26.8,36.4,4.0
247,-26.8,36.5,5.0
248,-26.8,36.6,4.0
249,-26.8,36.7,5.0
250,-26.8,36.8,5.0
251,-26.8,36.9,3.0
252,-26.8,37.1,1.0
253,-26.8,37.2,1.0
254,-26.8,37.3,2.0
255,-26.8,38.0,1.0
256,-12.3,35.1,1.0
257,-12.3,35.2,3.0
258,-12.3,35.4,3.0
259,-12.3,35.6,3.0
260,-12.3,35.7,2.0
261,-12.3,35.8,2.0
262,-12.3,35.9,3.0
263,-12.3,36.0,4.0
264,-12.3,36.1,5.0
265,-12.3,36.4,1.0
266,-32.2,34.4,1.0
267,-32.2,34.6,1.0
268,-32.2,35.5,1.0
269,-25.3,35.8,2.0
270,-25.3,35.9,4.0
271,-25.3,36.0,3.0
272,-25.3,36.1,2.0
273,-25.3,36.2,5.0
274,-25.3,36.3,5.0
275,-25.3,36.4,5.0
276,-25.3,36.5,5.0
277,-25.3,36.6,5.0
278,-25.3,36.7,3.0
279,-25.3,36.8,4.0
280,-25.3,36.9,1.0
281,-16.9,34.7,2.0
282,-16.9,34.8,3.0
283,-16.9,34.9,3.0
284,-16.9,35.0,5.0
285,-16.9,35.1,5.0
286,-16.9,35.2,5.0
287,-16.9,35.3,5.0
288,-16.9,35.4,2.0
289,-16.9,35.5,3.0
290,-16.9,35.6,3.0
291,-16.9,35.7,2.0
292,14.3,32.7,1.0
293,14.3,32.9,1.0
294,14.3,38.1,1.0
295,18.1,39.0,1.0
296,18.1,39.4,1.0
297,18.1,39.5,1.0
298,18.1,39.6,1.0
299,-28.0,35.8,1.0
300,-28.0,36.2,4.0
301,-28.0,36.3,4.0
302,-28.0,36.4,2.0
303,-28.0,36.5,5.0
304,-28.0,36.6,5.0
305,-28.0,36.7,5.0
306,-28.0,36.8,5.0
307,-28.0,36.9,5.0
308,2.0,32.3,1.0
309,2.0,32.4,1.0
310,2.0,32.5,1.0
311,7.8,31.8,1.0
312,7.8,31.9,1.0
313,7.8,32.0,1.0
314,1.8,31.9,1.0
315,1.8,32.6,1.0
316,-31.4,35.5,1.0
317,-31.4,35.8,1.0
318,-31.4,35.9,1.0
319,-31.4,36.2,3.0
320,-31.4,36.3,1.0
321,-31.4,36.4,3.0
322,-31.4,37.7,3.0
323,-31.4,37.8,3.0
324,-31.4,37.9,1.0
325,-31.4,38.0,1.0
326,-31.4,38.1,3.0
327,-31.4,38.2,1.0
328,-31.4,38.3,4.0
329,-31.4,38.4,1.0
330,-31.4,38.5,2.0
331,-31.4,38.7,1.0
332,-31.4,38.8,1.0
333,-31.4,38.9,2.0
334,-31.4,39.2,1.0
335,-31.4,39.3,1.0
336,-1.3,32.7,1.0
337,-23.8,35.4,1.0
338,-23.8,35.7,2.0
339,-23.8,35.8,5.0
340,-23.8,35.9,5.0
341,-23.8,36.0,4.0
342,-23.8,36.1,5.0
343,-23.8,36.2,5.0
344,-23.8,36.3,5.0
345,-23.8,36.4,5.0
346,-23.8,36.5,4.0
347,-23.8,36.6,3.0
348,-30.5,35.9,1.0
349,-30.5,36.2,3.0
350,-30.5,36.3,2.0
351,-30.5,36.4,3.0
352,-30.5,36.5,4.0
353,-30.5,36.6,5.0
